Time_min,CO2_Adsorbed_kg,CO2_Adsorbed_Upper_10pct_kg,CO2_Adsorbed_Lower_10pct_kg,CO2_Released_at_85C_kg,CaCO3_Produced_kg,Total_Thermal_Energy_kJ
0.0,0.0,0.0,0.0,0.0,0.0,240.0
0.7777777777777778,0.025845868502914007,0.02843045535320541,0.023261281652622607,0.010372265965330297,0.023589186559189033,266.42726840788754
1.5555555555555556,0.05090002273184894,0.05599002500503384,0.045810020458664044,0.02042680722284768,0.046455785842645404,292.0450130182505
2.3333333333333335,0.07518671458963977,0.08270538604860375,0.0676680431306758,0.03017335636042558,0.06862193224528508,316.87803127775027
3.111111111111111,0.09872945309142794,0.10860239840057075,0.08885650778228515,0.039621347835938854,0.09010908213813042,340.9503610341799
3.888888888888889,0.12155102712090124,0.13370612983299138,0.10939592440881112,0.048779927109623686,0.11093803463763313,364.2853038046025
4.666666666666667,0.1436735274894615,0.15804088023840765,0.12930617474051534,0.05765795949669374,0.13112895173878839,386.90544733073773
5.444444444444445,0.16511836831967341,0.18163020515164077,0.14860653148770608,0.06626403874878212,0.15070137783152926,408.8326874434289
6.222222222222222,0.1859063077736915,0.20449693855106066,0.16731567699632235,0.07460649537251479,0.16967425861929117,430.08824925735325
7.0,0.20605746814673165,0.22666321496140482,0.18545172133205848,0.08269340469326876,0.18806595945806112,450.6927077164945
7.777777777777778,0.22559135534503671,0.24815049087954041,0.20303221981053304,0.09053259467191999,0.20589428313366215,470.6660075102625
8.555555555555555,0.2445268777671899,0.2689795655439089,0.2200741899904709,0.09813165348214742,0.2231764870944816,490.0274823795397
9.333333333333334,0.2628823646070534,0.28917060106775877,0.23659412814634806,0.10549793685562812,0.239929300156324,508.79587383134293
10.11111111111111,0.28067558359604855,0.30874314195565344,0.2526080252364437,0.11263857520223333,0.2561689386955586,526.9893492802132
10.88888888888889,0.2979237582019527,0.327716134022148,0.26813138238175743,0.11956048051211772,0.2719111223462364,544.6255196338984
